Feb 06 21:34:33 lvl2: 	EmulationStation - v2.10.1rp, built Dec 26 2021 - 16:25:37
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Perfect Dark (USA) (Rev 1).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/Star Wars Episode I - Racer (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/007 The World Is Not Enough (USA).z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	File "/home/pi/RetroPie/roms/n64/BattleTanx - Global Assault.z64" does not exist! Ignoring.
Feb 06 21:34:36 lvl1: 	System "neogeo" has no games! Ignoring it.
Feb 06 21:34:36 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/nes/gamelist.xml"...
Feb 06 21:34:37 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/ngp/gamelist.xml"...
Feb 06 21:34:37 lvl1: 	System "ngpc" has no games! Ignoring it.
Feb 06 21:34:37 lvl1: 	System "pcengine" has no games! Ignoring it.
Feb 06 21:34:37 lvl1: 	System "psp" has no games! Ignoring it.
Feb 06 21:34:37 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/psx/gamelist.xml"...
Feb 06 21:34:37 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/retropie/gamelist.xml"...
Feb 06 21:34:37 lvl1: 	File "/home/pi/RetroPie/retropiemenu/getUpdate.sh" does not exist! Ignoring.
Feb 06 21:34:37 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/sega32x/gamelist.xml"...
Feb 06 21:34:37 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/segacd/gamelist.xml"...
Feb 06 21:34:37 lvl1: 	File "/home/pi/RetroPie/roms/segacd/Sonic CD.iso" does not exist! Ignoring.
Feb 06 21:34:37 lvl1: 	System "segacd" has no games! Ignoring it.
Feb 06 21:34:37 lvl1: 	System "sg-1000" has no games! Ignoring it.
Feb 06 21:34:37 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/snes/gamelist.xml"...
Feb 06 21:34:37 lvl1: 	System "vectrex" has no games! Ignoring it.
Feb 06 21:34:37 lvl1: 	System "zxspectrum" has no games! Ignoring it.
Feb 06 21:34:40 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 0, device index: 0)
Feb 06 21:34:47 lvl2: 	 req sound [detailed.launch]
Feb 06 21:34:47 lvl2: 	   (missing)
Feb 06 21:34:47 lvl2: 	Attempting to launch game...
Feb 06 21:34:48 lvl0: 	VolumeControl::init() - Failed to find mixer elements!
Feb 06 21:34:48 lvl2: 		/opt/retropie/supplementary/runcommand/runcommand.sh 0 _SYS_ n64 /home/pi/RetroPie/roms/n64/Mario\ Kart\ 64\ \(USA\).z64
Feb 06 21:37:14 lvl2: 	Creating window...
Feb 06 21:37:14 lvl2: 	Created window successfully.
Feb 06 21:37:14 lvl2: 	GL vendor:   Broadcom
Feb 06 21:37:14 lvl2: 	GL renderer: V3D 4.2
Feb 06 21:37:14 lvl2: 	GL version:  2.1 Mesa 19.3.2
Feb 06 21:37:14 lvl2: 	Checking available OpenGL extensions...
Feb 06 21:37:14 lvl2: 	 ARB_texture_non_power_of_two: ok
Feb 06 21:37:15 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 1, device index: 0)
Feb 06 21:37:15 lvl0: 	VolumeControl::init() - Failed to find mixer elements!
Feb 06 21:37:15 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 1, device index: 0)
Feb 06 21:37:19 lvl2: 	 req sound [detailed.launch]
Feb 06 21:37:19 lvl2: 	   (missing)
Feb 06 21:37:19 lvl2: 	Attempting to launch game...
Feb 06 21:37:20 lvl2: 		/opt/retropie/supplementary/runcommand/runcommand.sh 0 _SYS_ n64 /home/pi/RetroPie/roms/n64/Mario\ Kart\ 64\ \(USA\).z64
Feb 06 21:41:20 lvl2: 	Creating window...
Feb 06 21:41:20 lvl2: 	Created window successfully.
Feb 06 21:41:20 lvl2: 	GL vendor:   Broadcom
Feb 06 21:41:20 lvl2: 	GL renderer: V3D 4.2
Feb 06 21:41:20 lvl2: 	GL version:  2.1 Mesa 19.3.2
Feb 06 21:41:20 lvl2: 	Checking available OpenGL extensions...
Feb 06 21:41:20 lvl2: 	 ARB_texture_non_power_of_two: ok
Feb 06 21:41:20 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 2, device index: 0)
Feb 06 21:41:21 lvl0: 	VolumeControl::init() - Failed to find mixer elements!
Feb 06 21:41:21 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 2, device index: 0)
Feb 06 21:42:14 lvl2: 	 req sound [detailed.launch]
Feb 06 21:42:14 lvl2: 	   (missing)
Feb 06 21:42:15 lvl2: 	Attempting to launch game...
Feb 06 21:42:15 lvl2: 		/opt/retropie/supplementary/runcommand/runcommand.sh 0 _SYS_ n64 /home/pi/RetroPie/roms/n64/Super\ Mario\ 64.z64
Feb 06 21:42:45 lvl2: 	Creating window...
Feb 06 21:42:45 lvl2: 	Created window successfully.
Feb 06 21:42:45 lvl2: 	GL vendor:   Broadcom
Feb 06 21:42:45 lvl2: 	GL renderer: V3D 4.2
Feb 06 21:42:45 lvl2: 	GL version:  2.1 Mesa 19.3.2
Feb 06 21:42:45 lvl2: 	Checking available OpenGL extensions...
Feb 06 21:42:45 lvl2: 	 ARB_texture_non_power_of_two: ok
Feb 06 21:42:46 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 3, device index: 0)
Feb 06 21:42:46 lvl0: 	VolumeControl::init() - Failed to find mixer elements!
Feb 06 21:42:46 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 3, device index: 0)
Feb 06 21:42:48 lvl2: 	 req sound [detailed.launch]
Feb 06 21:42:48 lvl2: 	   (missing)
Feb 06 21:42:49 lvl2: 	Attempting to launch game...
Feb 06 21:42:50 lvl2: 		/opt/retropie/supplementary/runcommand/runcommand.sh 0 _SYS_ n64 /home/pi/RetroPie/roms/n64/Super\ Mario\ 64.z64
Feb 06 21:43:36 lvl2: 	Creating window...
Feb 06 21:43:36 lvl2: 	Created window successfully.
Feb 06 21:43:36 lvl2: 	GL vendor:   Broadcom
Feb 06 21:43:36 lvl2: 	GL renderer: V3D 4.2
Feb 06 21:43:36 lvl2: 	GL version:  2.1 Mesa 19.3.2
Feb 06 21:43:36 lvl2: 	Checking available OpenGL extensions...
Feb 06 21:43:36 lvl2: 	 ARB_texture_non_power_of_two: ok
Feb 06 21:43:37 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 4, device index: 0)
Feb 06 21:43:37 lvl0: 	VolumeControl::init() - Failed to find mixer elements!
Feb 06 21:43:37 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 4, device index: 0)
Feb 06 21:43:59 lvl2: 	 req sound [detailed.launch]
Feb 06 21:43:59 lvl2: 	   (missing)
Feb 06 21:43:59 lvl2: 	Attempting to launch game...
Feb 06 21:44:00 lvl2: 		/opt/retropie/supplementary/runcommand/runcommand.sh 0 _SYS_ n64 /home/pi/RetroPie/roms/n64/Mario\ Party.z64
Feb 06 21:44:32 lvl2: 	Creating window...
Feb 06 21:44:33 lvl2: 	Created window successfully.
Feb 06 21:44:33 lvl2: 	GL vendor:   Broadcom
Feb 06 21:44:33 lvl2: 	GL renderer: V3D 4.2
Feb 06 21:44:33 lvl2: 	GL version:  2.1 Mesa 19.3.2
Feb 06 21:44:33 lvl2: 	Checking available OpenGL extensions...
Feb 06 21:44:33 lvl2: 	 ARB_texture_non_power_of_two: ok
Feb 06 21:44:33 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 5, device index: 0)
Feb 06 21:44:33 lvl0: 	VolumeControl::init() - Failed to find mixer elements!
Feb 06 21:44:33 lvl2: 	Added known joystick Microsoft X-Box One S pad (instance ID: 5, device index: 0)
